area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,price
75,4,1,2,1,0,1,0,1,2,0,0,7350000
52,4,2,2,1,0,1,0,1,2,0,0,7175000
43,3,2,2,1,0,1,0,1,2,0,1,7000000
56,3,2,2,1,0,1,0,1,2,0,0,6930000
45,3,1,1,1,0,1,0,1,1,0,1,6895000
64,3,2,2,1,0,1,0,0,1,1,0,6825000
31,3,2,2,1,0,0,0,1,2,1,0,6790000
46,3,2,2,1,0,0,0,1,2,1,0,6720000
53,4,2,2,1,0,0,0,1,1,1,1,6720000
52,3,2,1,1,0,1,0,1,2,1,1,6650000
31,2,1,1,1,0,1,0,1,2,0,0,6650000
51,3,2,2,1,0,1,0,1,2,1,1,6615000
56,3,2,2,1,0,0,0,1,2,0,0,6615000
37,2,1,1,1,0,0,0,1,2,1,0,6510000
56,3,2,2,1,0,0,0,1,2,1,0,6510000
53,3,2,2,1,0,0,0,0,1,1,2,6475000
52,3,2,2,1,0,1,0,1,2,1,0,6440000
52,3,1,2,1,0,0,0,1,2,0,0,6440000
13,2,1,1,1,0,0,0,1,2,1,0,6300000
49,3,2,2,1,0,1,0,1,2,1,1,6300000
38,3,2,2,1,0,1,0,1,2,1,1,6300000
25,2,1,1,1,0,1,0,1,1,1,0,6265000
39,2,1,1,1,0,0,0,1,2,1,0,6160000
48,3,2,2,1,0,0,0,1,1,1,1,6160000
40,3,1,2,1,0,0,0,1,2,1,0,6125000
30,3,1,1,1,0,0,0,1,2,1,1,6090000
46,3,2,2,1,0,0,0,1,2,0,0,6090000
9,2,2,1,1,0,1,0,1,2,0,0,6020000
48,3,2,2,1,0,1,0,1,1,1,0,5950000
37,2,1,1,1,0,0,0,0,2,1,1,5880000
29,2,1,2,1,0,0,0,1,2,1,0,5880000
33,3,1,2,1,0,0,0,1,2,1,1,5810000
37,2,1,1,1,0,1,0,1,2,1,0,5810000
50,3,2,2,1,0,0,0,1,1,1,0,5775000
52,3,2,2,1,0,0,0,1,2,0,0,5750000
21,2,1,1,1,0,0,0,1,1,1,0,5705000
24,2,2,1,1,0,1,0,1,2,1,0,5670000
52,3,1,2,1,0,1,0,1,2,1,1,5600000
44,3,1,1,1,0,0,0,1,2,1,1,5600000
23,2,1,1,1,0,0,0,1,2,1,0,5600000
36,2,1,1,1,0,1,0,1,2,1,1,5565000
27,2,1,1,1,0,1,0,1,2,1,1,5565000
39,3,1,2,1,0,0,0,1,2,1,0,5530000
55,3,3,1,1,0,1,0,1,2,0,0,5530000
41,3,2,2,1,0,0,0,1,1,1,1,5460000
8,2,1,1,1,0,0,0,1,2,1,1,5460000
17,2,1,1,1,0,1,0,1,2,0,1,5390000
35,2,1,1,1,0,1,0,1,2,1,1,5390000
31,2,1,1,1,0,0,0,1,2,1,0,5320000
47,3,2,2,1,0,0,0,1,2,0,1,5320000
14,3,1,2,1,0,0,0,1,2,1,1,5285000
37,2,1,1,1,0,1,0,1,2,1,0,5250000
17,2,1,1,1,0,0,0,0,2,1,2,5250000
31,2,1,1,1,0,0,0,1,2,1,1,5215000
42,3,2,2,1,0,1,0,1,2,1,1,5180000
37,3,1,2,1,0,1,0,1,2,1,1,5180000
31,2,1,2,1,0,0,0,1,2,1,1,5145000
7,3,1,1,1,0,1,0,1,2,0,0,5110000
8,3,2,1,1,0,1,0,1,2,0,0,5110000
26,3,1,2,1,0,0,0,1,2,0,0,5110000
29,2,1,1,1,0,0,0,1,2,1,1,5075000
8,2,1,1,1,0,0,0,1,2,1,1,5075000
45,3,2,2,1,0,0,0,0,1,1,1,5075000
16,2,1,1,1,0,1,0,1,2,1,1,5040000
31,3,1,2,1,0,0,0,1,2,1,0,5005000
18,2,2,1,1,0,0,0,1,1,1,1,4970000
34,2,1,1,1,0,0,0,1,2,1,0,4970000
15,2,2,1,1,0,1,0,1,2,1,0,4935000
29,3,1,1,1,0,0,0,1,2,1,1,4900000
39,3,2,1,1,0,0,0,1,2,1,0,4900000
8,2,1,1,1,0,0,0,1,2,0,0,4900000
11,2,1,1,1,0,0,0,1,2,1,0,4865000
14,3,1,1,1,0,0,0,1,2,1,0,4865000
28,3,1,1,1,0,0,0,1,1,1,0,4830000
20,2,1,1,1,0,1,0,1,2,1,1,4795000
8,3,1,1,1,0,0,0,1,2,1,0,4760000
16,3,1,1,1,0,0,0,1,2,1,1,4690000
12,2,1,1,1,0,1,0,1,2,1,1,4620000
7,2,1,1,1,0,0,0,1,2,1,1,4550000
8,2,2,1,1,0,0,0,1,2,1,0,4480000
22,3,1,1,1,0,0,0,1,2,1,0,4410000
19,2,1,1,1,0,1,0,1,2,1,1,4340000
16,2,1,1,1,0,0,0,1,2,0,1,4200000
5,3,1,1,1,0,0,0,0,2,0,2,3920000
8,2,1,1,1,0,0,0,0,2,0,2,3850000
7,3,1,1,1,0,1,0,0,2,0,1,3710000
5,3,1,1,1,0,0,0,0,2,1,1,3640000
8,2,1,1,1,0,0,0,0,2,1,2,3500000
8,2,1,1,1,0,0,0,0,2,0,1,3360000
6,3,1,1,1,0,0,0,0,2,0,2,3290000
10,2,2,1,1,0,0,0,0,2,0,2,3220000
5,3,1,1,1,0,0,0,0,2,0,1,3150000
4,2,1,1,1,0,0,0,0,0,0,2,1820000
3,2,1,1,0,0,0,0,0,0,0,2,1767000
1,2,1,1,1,0,0,0,0,0,0,2,1750000
4,2,1,1,1,0,0,0,0,0,0,2,1750000
